titulo;autores;isbn;calificacion_promedio
Will You Please Be Quiet  Please?;Raymond Carver;99449897;4.27
Cathedral;Raymond Carver;679723692;4.29
Elephant and Other Stories;Raymond Carver;99449862;4.11
Geheimnisse und Lügen;Tim O'Brien;3596132444;3.78
In Pharaoh's Army: Memories of the Lost War;Tobias Wolff-Luann Walther;679760237;4.08
Old School;Tobias Wolff;747574650;3.82
This Boy's Life;Tobias Wolff;802136680;3.98
The Vintage Book of Contemporary American Short Stories;Tobias Wolff;679745130;4.11
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families;Philip Gourevitch;312243359;4.25
The Paris Review Interviews  I: 16 Celebrated Interviews;The Paris Review-Philip Gourevitch-Rebecca West-Elizabeth Bishop-Robert  Stone-Robert Gottlieb-Richard Price-Billy Wilder-Jack Gilbert-Joan Didion-Dorothy Parker-Truman Capote-Ernest Hemingway-T.S. Eliot-Saul Bellow-Jorge Luis Borges-Kurt Vonnegut-James M. Cain;312361750;4.38
The Living and the Dead: Robert McNamara and Five Lives of a Lost War;Paul Hendrickson;067978117X;4.03
Sons of Mississippi: A Story of Race and Its Legacy;Paul Hendrickson;375704256;3.81
Looking for the Light: The Hidden Life and Art of Marion Post Wolcott;Paul Hendrickson-Marion Post Wolcott;394577299;4.08
The Color Purple;Alice Walker;671727796;4.19
Bright Purple: Color Me Confused (TrueColors  #10);Melody Carlson;1576839508;3.47
Humboldt's Gift;Saul Bellow;140189440;3.86
The Promise;Chaim Potok;1400095417;4.15
The Gift of Asher Lev;Chaim Potok;449001156;4.15
In the Beginning;Chaim Potok;044900113X;4.08
My Name Is Asher Lev;Chaim Potok;1400031044;4.2
L'Échiquier du mal;Dan Simmons;2207254410;3.9
Un verano tenebroso (Seasons of Horror  #1);Dan Simmons;8440641648;4.02
L'Éveil d'Endymion II;Dan Simmons;2266106341;4.22
Les Larmes d'Icare;Dan Simmons-Jean-Daniel Brèque;220724038X;3.56
L'Épée de Darwin;Dan Simmons-Guy Abadia;2268043185;3.32
Les Fils des ténèbres;Dan Simmons;2226074740;3.71
Endymion: Pforten der Zeit;Dan Simmons;3442353920;4.16
Carrion Comfort;Dan Simmons;747202370;3.9
Los vampiros de la mente;Dan Simmons;8440622708;3.9
The Second Omni Book of Science Fiction;Ellen Datlow;077378232X;3.84
1 000 Places to See Before You Die;Patricia Schultz;761104844;3.85
Night Visions 5;Douglas E. Winter-Stephen King-Dan Simmons-George R.R. Martin;913165328;3.89
The Crook Factory;Dan Simmons;380789175;3.79
Ilium;Dan Simmons;1931081883;4.02
Swan Song;Robert R. McCammon;067162413X;4.28
Evil Unveiled (Speaks The Nightbird #2);Robert R. McCammon;743471393;4.22
Mine;Robert R. McCammon;671739441;3.9
Gone South;Robert R. McCammon;671743074;3.93
Usher's Passing;Robert R. McCammon;671769928;3.9
The Wolf's Hour;Robert R. McCammon;671731424;4.05
Mystery Walk;Robert R. McCammon;067176991X;3.87
Boy's Life;Robert R. McCammon;671743058;4.35
Blue World;Robert R. McCammon;671695185;3.93
Stinger;Robert R. McCammon;671737767;3.87
Swan Song;Robert R. McCammon;671741039;4.28
They Thirst;Robert R. McCammon;671664816;3.9
Bethany's Sin;Robert R. McCammon;380477122;3.57
Baal;Robert R. McCammon;671664840;3.57
Danse Macabre;Stephen King;042518160X;3.63
The Secretary of Dreams  Volume One;Stephen King-Glenn Chadbourne;1587671409;4.45
The Green Mile;Stephen King;451933028;4.44
Skeleton Crew;Stephen King;451168615;3.95
Dreamcatcher;Stephen King-William Olivier Desmond-Maria Teresa Marenco;2226131906;3.62
Storm of the Century: An Original Screenplay;Stephen King;965796930;3.91
The Dead Zone;Stephen King;451155750;3.92
The Body;Stephen King-Robin Waterfield;582418178;4.26
Jessie (Ldp Litt.Fantas);Stephen King-Mimi Perrin-Isabelle Perrin;2253147702;3.5
Creepshow;Stephen King-Bernie Wrightson-Michele Wrightson;452253802;4.07
On Writing: A Memoir;Stephen King;340820462;4.33
The Shining (The Shining  #1);Stephen King;450040186;4.21
'Salem's Lot;Stephen King;450031063;4.01
La Torre Oscura VII - Tomo 2 of 2 (La Torre Oscura  #7);Stephen King-Verónica Canales;9506440824;4.22
Secret Windows: Essays and Fiction on the Craft of Writing;Stephen King;165006439;4.09
The Dark Half;Stephen King;045052468X;3.76
Cujo;Stephen King;451161351;3.7
The Dead Zone/Cujo;Stephen King;316853690;4.29
The Science of Stephen King: From 'Carrie' to 'Cell ' The Terrifying Truth Behind the Horror Master's Fiction;Lois H. Gresh-Robert E. Weinberg;471782475;3.49
Hearts in Atlantis;Stephen King;340818670;3.82
The Girl Who Loved Tom Gordon;Stephen King;671042858;3.58
Riding the Bullet;Stephen King-Josh Hamilton;743525876;3.63
The Bachman Books: Four Early Novels by Stephen King;Stephen King-Richard Bachman;453005071;4.11
The Running Man;Richard Bachman-Stephen King;451197968;3.86
El umbral de la noche;Stephen King-Gregorio Vlastelica-Eduardo Goligorsky;060981088X;3.99
Stand by Me;Raynold Gideon;9998691567;4.33
La danza de la muerte;Stephen King-Eduardo Goligorsky;8401321689;4.34
The Gardens of Emily Dickinson;Judith Farr-Louise Carter;067401829X;3.86
The Life of Emily Dickinson;Richard B. Sewall;674530802;4.3
The Poems of Emily Dickinson;Emily Dickinson-R.W. Franklin;674018249;4.25
Selected Poetry of Emily Dickinson;Emily Dickinson;385487185;4.16
The Unabridged Journals of Sylvia Plath;Sylvia Plath-Karen V. Kukil;385720254;4.31
Ariel: The Restored Edition;Sylvia Plath-Frieda Hughes;60732601;4.28
The Colossus and Other Poems;Sylvia Plath;375704469;4.19
Rough Magic: A Biography of Sylvia Plath;Paul Alexander;306812991;3.91
The Death and Life of Sylvia Plath;Ronald Hayman;750934220;3.65
Collected Children's Stories;Sylvia Plath;571207561;4.22
Te Kaihau: The Windeater;Keri Hulme;807611689;3.73
Everyman;Philip Roth;061873516X;3.58
American Pastoral (The American Trilogy  #1);Philip Roth;99771810;3.92
I Married a Communist (The American Trilogy  #2);Philip Roth;375707212;3.8
Sabbath's Theater;Philip Roth;679772596;3.85
The Counterlife;Philip Roth;679749047;3.9
Rabbit Angstrom: The Four Novels;John Updike;679444599;4.26
Terrorist;John Updike;307264653;3.17
Rabbit Novels: Rabbit  Run and Rabbit Redux;John Updike;345464567;3.97
Brazil;John Updike;449911632;3.44
Conversations with John Updike;James Plath;878057005;3.58
Rabbit at Rest (Rabbit Angstrom #4);John Updike;449911942;3.97
Rest Rabbit Rest (Sweet Pickles  #18);Jacquelyn Reinach-Richard Hefter;30420563;4.01
The Mambo Kings Play Songs of Love;Oscar Hijuelos;60845309;3.68
Mr. Ives' Christmas;Oscar Hijuelos;60927542;3.76
The Fourteen Sisters of Emilio Montez O'Brien;Oscar Hijuelos;60975946;3.69
The Known World;Edward P. Jones;7195303;3.83
The Stories of John Cheever;John Cheever;375724427;4.27
Istanbul: Memories and the City;Orhan Pamuk;1400033888;3.78
Snow;Orhan Pamuk-Maureen Freely;375706860;3.57
The Black Book;Orhan Pamuk-Maureen Freely;1400078652;3.91
The White Castle;Orhan Pamuk-Victoria Rowe Holbrook;571164668;3.45
The New Life;Orhan Pamuk-Güneli Gün;571193781;3.55
La Vida Nueva;Orhan Pamuk-Rafael Carpintero;9707707763;3.55
Me llamo rojo;Orhan Pamuk-Rafael Carpintero;8466368876;3.84
The Collected Poems  1957-1987;Octavio Paz-Eliot Weinberger-Elizabeth Bishop;811211738;4.3
The Labyrinth of Solitude and Other Writings;Octavio Paz-Lysander Kemp-Yara Milos;080215042X;4.15
Sor Juana: Or  the Traps of Faith;Octavio Paz-Margaret Sayers Peden;674821068;4.21
Selected Poems;Octavio Paz-Eliot Weinberger-Charles Tomlinson-William Carlos Williams-Monique Fong Wust-G. Aroul-Elizabeth Bishop-Paul Blackburn-Lysander Kemp-Denise Levertov-Muriel Rukeyser-Mark Strand;811208990;4.21
The Double Flame: Love and Eroticism;Octavio Paz-Helen Lane;156003651;4.21
Vernon God Little;D.B.C. Pierre;571215165;3.59
The English Patient: A Screenplay (Screen and Cinema);Anthony Minghella-Michael Ondaatje;413715000;3.86
Possession;A.S. Byatt-Jean-Louis Chevalier;2080682911;3.89
Angels & Insects;A.S. Byatt;676503187;3.65
The Blue Flower;Penelope Fitzgerald;395859972;3.47
The Bookshop  The Gate of Angels  The Blue Flower;Penelope Fitzgerald-Frank Kermode;1400041260;4.06
The Human Stain (The American Trilogy  #3);Philip Roth;99282194;3.87
Housekeeping;Marilynne Robinson;312424094;3.82
All Aunt Hagar's Children: Stories;Edward P. Jones;60557567;3.77
Lost in the City;Edward P. Jones;006079528X;4.03
El mundo según Garp;John Irving-Iris Menéndez;847223746X;4.08
Underworld;Don DeLillo;330369954;3.92
White Noise;Don DeLillo;140283307;3.86
Libra;Don DeLillo;886192145;3.99
End Zone;Don DeLillo;671820125;3.64
Americana;Don DeLillo;2868698220;3.43
Love-Lies-Bleeding;Don DeLillo;743273060;3.4
The Body Artist;Don DeLillo;743203968;3.24
The Hotel New Hampshire;John Irving;552992097;3.9
The Hotel New Hampshire;John Irving;552120405;3.9
The Hotel New Hampshire;John Irving;671440276;3.9
Das Hotel New Hampshire;John Irving-Hans Hermann;3257211945;3.9
El Hotel New Hampshire;John Irving-Iris Menéndez;8472238660;3.9
Black Girl/White Girl;Joyce Carol Oates;61125644;3.23
Them (Wonderland Quartet  #3);Joyce Carol Oates-Elaine Showalter;345484401;3.71
You Must Remember This;Joyce Carol Oates;452280192;3.75
Wonderland (Wonderland Quartet  #4);Joyce Carol Oates-Elaine Showalter;081297655X;3.79
Missing Mom;Joyce Carol Oates;60816228;3.54
Rape: A Love Story;Joyce Carol Oates;1843544121;3.56
After the Wreck  I Picked Myself Up  Spread My Wings  and Flew Away;Joyce Carol Oates;60735252;3.46
Zombie;Joyce Carol Oates;452275008;3.34
Sabbath's Theater;Philip Roth;99582015;3.85
El teatro de Sabbath;Philip Roth-Jordi Fibla;8497936086;3.85
Sabbaths Theater;Philip Roth;3499223104;3.85
The Stone Diaries;Carol Shields;143036394;3.86
Insurgent Collective Action and Civil War in El Salvador;Elisabeth Jean Wood;521010500;3.8
The Whipping Boy;Sid Fleischman-Peter Sís;60521228;3.56
Dicey's Song (Tillerman Cycle  #2);Cynthia Voigt;689863624;3.96
A Wrinkle in Time (Time Series  #1);Madeleine L'Engle;965846849;4.01
Swiftly Tilting Planet;Madeleine L'Engle;965846857;4.11
Many Waters (Time  #4);Madeleine L'Engle;440227704;3.99
Puzzle Pack: The Witch of Blackbird Pond;Mary B. Collins;1583377824;1.0
City on the Seine: Paris in the Time of Richelieu and Louis XIV  1614-1715;Andrew P. Trout;333666380;4.17
Teach Them Diligently: How to Use the Scriptures in Child Training;Lou Priolo;1889032204;4.24
The Confessions of Nat Turner;William Styron;99285568;3.97
Set This House On Fire;William Styron;009928555X;3.7
Darkness Visible: A Memoir of Madness;William Styron;679643524;4.04
A Book of Blue Flowers;Robert L. Geneve;881927694;3.83
Falconer;John Cheever;224014013;3.66
The Wapshot Chronicle;John Cheever-Rick Moody;60528877;3.76
Collected Stories;John Cheever-Hanif Kureishi;99748304;4.27
Solomon's Song;Bryce Courtenay;670878782;4.01
The Hours;Michael Cunningham;312305060;3.93
72 Hour Hold;Bebe Moore Campbell;1400033616;3.81
The Witching Hour (Lives of the Mayfair Witches  #1);Anne Rice;99471426;4.11
The Eleventh Hour;Graeme Base;810932652;4.31
The Victim;Saul Bellow;140189386;3.52
The Adventures of Augie March;Saul Bellow-Christopher Hitchens;143039571;3.85
Mr. Sammler's Planet;Saul Bellow-Stanley Crouch;142437832;3.75
Novels 1956–1964: Seize the Day / Henderson the Rain King / Herzog;Saul Bellow-James  Wood;159853002X;4.19
Broken (Women of the Otherworld  #6);Kelley Armstrong;553588184;4.19
No Humans Involved (Women of the Otherworld  #7);Kelley Armstrong;553805088;4.2
Exit Strategy (Nadia Stafford #1);Kelley Armstrong;553588192;3.88
Bitten (Women of the Otherworld  #1);Kelley Armstrong;452286034;4.05
Haunted (Women of the Otherworld  #5);Kelley Armstrong;553587080;4.09
Dime Store Magic (Women of the Otherworld  #3);Kelley Armstrong;553587064;4.07
Industrial Magic (Women of the Otherworld #4);Kelley Armstrong;553587072;4.13
Stolen (Women of the Otherworld  #2);Kelley Armstrong;452285933;4.15
Moderato cantabile;Marguerite Duras;3518376780;3.52
The Line Between;Peter S. Beagle;1892391368;4.12
Tamsin;Peter S. Beagle;451457633;4.02
The Fantasy Worlds of Peter Beagle;Peter S. Beagle;345289676;4.23
I'm Afraid You've Got Dragons;Peter S. Beagle;142408751;4.1
The Innkeeper's Song;Peter S. Beagle;451452887;3.89
Uncle Setnakt's Essential Guide to the Left Hand Path;Don Webb;1885972105;4.36
Les petits chevaux de Tarquinia;Marguerite Duras;207036187X;3.75
The Humanoids (Humanoids #1);Jack Williamson;312852533;3.75
Darker Than You Think;Jack Williamson-David G. Klein-Douglas E. Winter;739410504;3.53
Terraforming Earth;Jack Williamson;765344971;3.47
Les jeux sont faits;Jean-Paul Sartre;2070394824;3.96
The Plague  The Fall  Exile and the Kingdom  and Selected Essays;Albert Camus-Stuart Gilbert-Justin O'Brien-David Bellos;1400042550;4.34
The Rebel;Albert Camus-Anthony Bower-Herbert Read;679733841;4.14
The Fall;Albert Camus-Justin O'Brien;679720227;4.05
Camus at Combat: Writing 1944-1947;Albert Camus-Jacqueline Levi-Valensi-Arthur Goldhammer-David Carroll;691120048;4.16
L'Étranger;Albert Camus;2040284877;3.97
Resistance  Rebellion and Death: Essays;Albert Camus-Justin O'Brien;679764011;4.2
I Who Have Never Known Men;Jacqueline Harpman-Ros Schwartz;380731819;4.0
The Killer Inside Me;Jim Thompson;722184794;3.84
Crime Novels: American Noir of the 1950s;Robert Polito-Jim Thompson-Patricia Highsmith-Charles Willeford-David Goodis-Chester Himes;1883011493;4.36
Raise High the Roof Beam  Carpenters and Seymour: an Introduction;J.D. Salinger;140237518;4.12
The Wasp Factory;Iain Banks;316858560;3.84
Dead Air;Iain Banks;349116644;3.51
Use of Weapons;Iain M. Banks;185723135X;4.19
The Algebraist;Iain M. Banks-Juan José Llanos Collado;1597800449;4.01
The Player of Games (Culture  #2);Iain M. Banks;1857231465;4.27
Excession (Culture  #5);Iain M. Banks;553575376;4.2
Complicity;Iain Banks;349105715;3.89
Look to Windward (Culture  #7);Iain M. Banks;743421922;4.2
Inversions (Culture  #6);Iain M. Banks;074341196X;3.92
Exzession (Culture  #5);Iain M. Banks-Irene Bonhorst;3453196791;4.2
Iain Banks' 'The Wasp Factory'  'The Crow Road' and 'Whit';Alan MacGillivray;948877480;3.89
A Song Of Stone;Iain Banks;316640166;3.17
Twilight (Twilight  #1);Stephenie Meyer;031605898X;3.59
Selected Poems;Herman Melville-Robert Faggen;143039032;3.82
The Confidence-Man;Herman Melville-Tony Tanner-John Dugdale;192837621;3.66
The Italian Girl (Ackroyd and Thackeray #5);Patricia Hall;312264895;3.4
An Unofficial Rose;Iris Murdoch;014002154X;3.74
Days: A Tangier Diary;Paul Bowles;61137367;3.3
The Sheltering Sky / Let It Come Down / The Spider's House;Paul Bowles-Daniel Halpern;1931082197;4.18
The Spider's House;Paul Bowles-Francine Prose;61137030;4.03
A Hundred Camels in the Courtyard;Paul Bowles;872860027;3.98
Collected Stories and Later Writings;Paul Bowles-Daniel Halpern;1931082200;4.42
The Sheltering Sky;Paul Bowles;006083482X;3.91
Points in Time;Paul Bowles;61139637;3.68
The Accidental Bodyguard (Accidental  #2);Ann Major;373760035;3.32
The Nice and the Good;Iris Murdoch;140030344;3.84
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch;Terry Pratchett-Neil Gaiman;60853980;4.25
No More Christian Nice Guy: When Being Nice--Instead of Good--Hurts Men  Women and Children;Paul Coughlin-Laura Schlessinger;764200925;3.75
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch;Terry Pratchett-Neil Gaiman;60853972;4.25
Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada;Terry Pratchett-Neil Gaiman;159497098X;4.25
Philosophical Investigations;Ludwig Wittgenstein-G.E.M. Anscombe;631231277;4.23
Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers;David Edmonds-John Eidinow;60936649;3.75
Tractatus Logico-Philosophicus;Ludwig Wittgenstein;415254086;4.06
Philosophical Investigations;Ludwig Wittgenstein-G.E.M. Anscombe;24288101;4.23
On Certainty;Ludwig Wittgenstein-G.E.M. Anscombe-George Henrik von Wright;631169407;4.16
Wittgenstein on Rules and Private Language: An Elementary Exposition;Saul A. Kripke;674954017;4.01
Ludwig Wittgenstein: The Duty of Genius;Ray Monk;140159959;4.35
Wittgenstein's Vienna;Allan Janik-Stephen Toulmin;1566631327;4.05
The Blue and Brown Books;Ludwig Wittgenstein-Rush Rhees;61312118;4.13
Long Day's Journey into Night;Eugene O'Neill-Harold Bloom;300093055;4.07
Long Day's Journey: The Steamboat & Stagecoach Era in the Northern West;Carlos A. Schwantes;295976918;4.0
En attendant Godot;Samuel Beckett;2707301485;3.83
The Coming of Godot: A Short History of a Masterpiece;Jonathan Croall-Peter Hall;1840025956;4.0
The Bald Soprano and Other Plays;Eugène Ionesco-Donald M. Allen;802130798;4.04
Rhinoceros / The Chairs / The Lesson;Eugène Ionesco-Derek Prouse-Donald   Watson;141184299;4.01
Three Plays: Exit the King / The Killer / Macbett;Eugène Ionesco-Charles Marowitz-Donald   Watson;802151108;4.11
Six Characters in Search of an Author and Other Plays;Luigi Pirandello-Mark Musa;014018922X;3.95
The Oil Jar and Other Stories;Luigi Pirandello-Stanley Appelbaum;048628459X;3.86
The Late Mattia Pascal;Luigi Pirandello-William Weaver-Charles Simic;1590171152;4.02
One  No One and One Hundred Thousand;Luigi Pirandello-William Weaver-Samuel Putnam;941419746;4.11
Henry IV;Luigi Pirandello-Tom Stoppard;802141943;3.91
Three Plays;Luigi Pirandello-Robert Rietty-Julian Mitchell-John Linstrum;413575608;3.71
Naked Masks: Five Plays;Luigi Pirandello-Eric Bentley;525470069;4.11
Sierra's Homecoming (McKettricks  #5);Linda Lael Miller;373247958;4.09
Homecoming (Tillerman Cycle  #1);Cynthia Voigt;689851324;3.93
Homecoming (Star Trek: Voyager: Homecoming #1);Christie Golden;074346754X;3.91
The Homecoming;Harold Pinter;413413306;3.73
Glengarry Glen Ross;David Mamet-Karen Charmaine Blansfield;041377418X;3.94
Buried Child;Sam Shepard;307274977;3.91
Seven Plays;Sam Shepard-Richard Gilman;553346113;4.18
You Come Too: Favorite Poems for Readers of All Ages;Robert Frost-Noel Perrin;805069852;4.16
Watership Down;Richard  Adams;743277708;4.06
Watership Down;Richard  Adams;60935456;4.06
Tales from Watership Down;Richard  Adams;517289369;3.78
Escape to the Hills;Judy Allen;99403552;3.8
The Bake Shop Ghost;Jacqueline K. Ogburn-Marjorie A. Priceman;618445579;4.26
The Journey That Saved Curious George: The True Wartime Escape of Margret and H.A. Rey;Louise Borden-Allan Drummond;618339248;4.1
Babylon Revisited and Other Stories;F. Scott Fitzgerald-James L.W. West III;684824485;4.0
All the Sad Young Men (Works of F. Scott Fitzgerald);F. Scott Fitzgerald-James L.W. West III;521402409;3.95
Memoirs of Hadrian;Marguerite Yourcenar-Grace Frick;374529264;4.25
Every Book Its Reader: The Power of the Printed Word to Stir the World;Nicholas A. Basbanes;60593245;3.96
Invitation to a Beheading;Vladimir Nabokov;141185600;3.94
Ada  or Ardor: A Family Chronicle;Vladimir Nabokov;679725229;4.14
Strong Opinions;Vladimir Nabokov;679726098;3.99
Lord Jim;Joseph Conrad;1551111721;3.62
Typhoon and Other Tales;Joseph Conrad-Cedric Watts;192801732;3.89
Stopping by Woods on a Snowy Evening;Robert Frost-Susan Jeffers;525467343;4.39
The Poetry of Robert Frost: The Collected Poems  Complete and Unabridged;Robert Frost-Edward Connery Lathem;805069860;4.31
Frost;Thomas Bernhard-Michael Hofmann;1400040663;3.88
The Road Not Taken and Other Poems;Robert Frost;486275507;4.27
Collected Poems  Prose  and Plays;Robert Frost-Richard Poirier-Mark   Richardson;188301106X;4.31
Robert Frost: A Life;Jay Parini;805063412;4.13
A Streetcar Named Desire;Tennessee Williams;822210894;3.98
A Streetcar Named Desire;Tennessee Williams-Arthur  Miller;811216020;3.98
A Streetcar Named Desire (SparkNotes Literature Guide);SparkNotes;1586634496;3.29
CliffNotes on Williams' Glass Menagerie & Streetcar Named Desire (Cliffs Notes);James Lamar Roberts-Tennessee Williams-CliffsNotes;822005336;3.78
Pygmalion;George Bernard Shaw-Dan H. Laurence-Nicholas Grene;141439505;3.9
Pygmalion;George Bernard Shaw-James Hynes-Cynthia Brantley Johnson;1416500405;3.9
The Play Soldier;Chet Green;159113644X;4.5
Return to Ithaca (Tales from the Odyssey  #5);Mary Pope Osborne-Troy Howell;786809930;4.13
The New Testament;Richmond Lattimore;865475245;4.29
Greek Lyrics;Richmond Lattimore;226469441;3.99
The Iliad;Homer-Robert Fagles-Derek Jacobi;143059289;3.85
The Iliad  Books 8-9 (Classical Texts Series);Homer-Charles H. Wilson;856686271;4.5
The Gray-Eyed Goddess (Tales from the Odyssey  #4);Mary Pope Osborne-Troy Howell-Homer;786809310;4.07
Collected Stories;Tennessee Williams-Gore Vidal;811212696;4.32
Saint Joan;George Bernard Shaw-Dan H. Laurence-Imogen Stubbs;140437916;3.79
The Intelligent Woman's Guide to Socialism  Capitalism  Sovietism and Fascism;George Bernard Shaw-Susan Moller Okin;887380050;3.9
Molloy  Malone Dies  The Unnamable (The Trilogy  #1-3);Samuel Beckett;375400702;4.28
The Complete Short Prose  1929-1989;Samuel Beckett-S.E. Gontarski;802134904;4.29
Endgame;Samuel Beckett;571070671;3.84
The Adventures of Race Williams;Carroll John Daly;892969598;3.45
The Hidden Hand;Carroll John Daly-Drew Bishop;60974362;3.43
Murder from the East;Carroll John Daly;930330013;3.55
Education as My Agenda: Gertrude Williams  Race & the Baltimore Public Schools;Jo Ann Ooiman Robinson;031229543X;4.25
The Scarlet Letter;Nathaniel Hawthorne-Thomas E. Connolly-Nina Baym;142437263;3.39
The Scarlet Letter;Nathaniel Hawthorne-Kathryn Harrison;679783385;3.39
The Scarlet Letter and Other Writings;Nathaniel Hawthorne-Leland S. Person;393979539;3.63
The Scarlet Letter;Nathaniel Hawthorne;743487567;3.39
The Scarlet Letter;Nathaniel Hawthorne;1587263831;3.39
The Scarlet Letter;Nathaniel Hawthorne;074326469X;3.39
Nathaniel Hawthorne's The Scarlet Letter;Nathaniel Hawthorne-Karin Jacobson;764587242;3.39
Collected Novels: Fanshawe / The Scarlet Letter / The House of the Seven Gables / The Blithedale Romance / The Marble Fawn;Nathaniel Hawthorne-Millicent Bell;940450089;4.15
Hawthorne's Short Stories;Nathaniel Hawthorne-Newton Arvin;394700155;4.06
The Birth of Tragedy;Friedrich Nietzsche-Clifton Fadiman;486285154;3.98
Human  All Too Human (Complete Works 3);Friedrich Nietzsche-Gary Handwerk;804741719;4.22
Basic Writings of Nietzsche;Friedrich Nietzsche-Walter Kaufmann-Peter Gay;679783393;4.11
Beyond Good and Evil;Friedrich Nietzsche-R.J. Hollingdale-Michael Tanner;014044923X;4.02
Daybreak: Thoughts on the Prejudices of Morality;Friedrich Nietzsche-R.J. Hollingdale;521599636;4.17
How To Draw The Legend Of Zelda    (troll);Michael Teitelbaum-Ron Zalme;439635810;4.19
Savage Beauty: The Life of Edna St. Vincent Millay;Nancy Milford;375760814;4.01
Premières Histoires;João Guimarães Rosa;2864240157;4.32
My Year of Meats;Ruth Ozeki;140280464;3.95
Beef;Ruth Ozeki;3492230024;3.95
Mon épouse américaine;Ruth Ozeki-Florence Mortimer;2266104462;3.95
The Partly Cloudy Patriot;Sarah Vowell-Katherine Streeter;743243803;3.88
Radio On: A Listener's Diary;Sarah Vowell;312183011;3.42
The Risk Pool;Richard Russo;99276496;4.03
The Whore's Child and Other Stories;Richard Russo;009943752X;3.75
Supermob: How Sidney Korshak and His Criminal Associates Became America's Hidden Power Brokers;Gus Russo;1582343896;3.85
The Lay of the Land;Richard Ford;679454683;3.9
Independence Day;Richard Ford;99447126;3.86
The People's Tycoon: Henry Ford and the American Century;Steven Watts;375707255;4.02
Wilderness: The Lost Writings  Vol. 1;Jim Morrison;679726225;3.95
When Somebody Loves You Back (Soulmates Dissipate  #6);Mary B. Morrison;758207301;4.38
The Lords and the New Creatures;Jim Morrison;671210440;3.92
Journey to the End of the Night;Louis-Ferdinand Céline-Ralph Manheim-William T. Vollmann;811216543;4.23
Europe Central;William T. Vollmann;143036599;3.91
Historical Atlas of Central Europe (History of East Central Europe  Vol. 1);Paul Robert Magocsi;295981466;4.43
Passing;Nella Larsen-Carla Kaplan;393979164;3.83
The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Stories;Nella Larsen-Charles Larson-Marita Golden;385721005;4.12
The Poet of Tolstoy Park;Sonny Brewer;345476328;3.92
A Calendar of Wisdom: Daily Thoughts to Nourish the Soul;Leo Tolstoy-Peter Sekirin;684837935;4.1
Safe Conduct: An Autobiography and Other Writings;Boris Pasternak-B. Deutsch;081120135X;3.79
Letters  Summer 1926;Boris Pasternak-Marina Tsvetaeva-Rainer Maria Rilke;940322714;4.27
Traveller;Richard  Adams;440204933;3.92
The Plague Dogs;Richard  Adams;345494024;3.85
Maia (Beklan Empire #2);Richard  Adams;670800333;4.01
The Girl in a Swing;Richard  Adams;517391732;3.51
Richard Adams's Favorite Animal Stories;Richard  Adams-Beverley Butcher;671092286;3.67
You Can't Go Home Again;Thomas Wolfe;60930055;4.05
Look Homeward  Angel;Thomas Wolfe;743297318;3.94
Of Time and the River: A Legend of Man's Hunger in His Youth;Thomas Wolfe-Pat Conroy;684867850;4.19
Boys' Life & Search and Destroy;Howard Korder;413712001;3.76
Complete Plays 1920–1931;Eugene O'Neill-Travis Bogard;940450496;4.19
Complete Plays 1913–1920;Eugene O'Neill-Travis Bogard;940450488;4.12
The Castle in the Forest;Norman Mailer;394536495;3.13
The Naked and the Dead;Norman Mailer;312265050;3.94
The Executioner's Song;Norman Mailer;375700811;4.07
The Big Empty: Dialogues on Politics  Sex  God  Boxing  Morality  Myth  Poker & Bad Conscience in America;Norman Mailer-John Buffalo Mailer;1560258241;3.31
The Armies of the Night: History as a Novel  the Novel as History;Norman Mailer;452272793;3.66
In Cold Blood;Truman Capote;141182571;4.07
Cold Blood (Lorraine Page  #2);Lynda La Plante;515124796;3.93
Amazing Disgrace (Gerald Samper #2);James Hamilton-Paterson;1933372192;3.79
Cry  the Beloved Country;Alan Paton;99766817;3.89
You Don't Know Jack (NY Girlfriends  #2);Erin McCarthy;075821409X;3.72
The Sunset Limited;Cormac McCarthy;307278360;3.96
No Country for Old Men;Cormac McCarthy;375706674;4.13
The Border Trilogy;Cormac McCarthy;330334611;4.43
Bit the Jackpot (Vegas Vampires  #2);Erin McCarthy;425212130;3.88
McCarthy's Bar: A Journey of Discovery in Ireland;Pete McCarthy;312311338;3.79
Why My Wife Thinks I'm an Idiot: The Life and Times of a Sportscaster Dad;Mike Greenberg;1400064384;3.58
The Idiot;Fyodor Dostoyevsky-Constance Garnett-Alan Myers-Joseph Frank-Anna Brailovsky;679642420;4.18
The Complete Idiot's Guide to Calculus;W. Michael Kelley;1592574718;4.09
True and False: Heresy and Common Sense for the Actor;David Mamet;679772642;3.94
On Directing Film;David Mamet;140127224;3.86
Visions of Gerard;Jack Kerouac;140144528;3.72
Book of Dreams;Jack Kerouac-Robert Creeley;872863808;3.43
Sexy;Joyce Carol Oates;60541512;3.16
Three by Annie Dillard: Pilgrim at Tinker Creek  An American Childhood  The Writing Life;Annie Dillard;60920645;4.34
Pilgrim at Tinker Creek;Annie Dillard;72434171;4.11
